Recipient Name,Recipient ID,Grants,Total,Average,Largest,Smallest
i-SE,GB-COH-04020149,3,91376,30458,44867,15000
Yardley Play Cic,GB-COH-08379623,1,500,500,500,500
Yardley Church Forward Club,GB-CHC-512167,3,750,250,250,250
Wylde Green Neighbourhood Forum,360G-BirminghamCC-wylde_green_neighbourhood_forum,3,1517,505,517,500
Wychall Family Club,360G-BirminghamCC-wychall_family_club,1,1650,1650,1650,1650
Writing West Midlands Ltd,GB-COH-06264124,4,50000,12500,20000,9000
Work In Progress,360G-BirminghamCC-work_in_progress,1,20000,20000,20000,20000
Womens Help Centre Ltd,GB-COH-02759810,1,8000,8000,8000,8000
Women And Theatre (Bham) Ltd,GB-COH-01998448,5,39415,7883,10000,335
Witton Lodge Community Association,GB-COH-02903760,6,73981,12330,49981,1000
Wilkes Green Residents Association,360G-BirminghamCC-wilkes_green_residents_association,1,500,500,500,500
Westley Vale Millennium Green Trust,GB-CHC-1073377,1,300,300,300,300
West Midlands Police & Crime Commissioner,360G-BirminghamCC-wm_pcc,1,1000,1000,1000,1000
West Heath Community Association,GB-COH-06570815,3,5318,1772,3500,709
West Handsworth Neighbourhood Forum,360G-BirminghamCC-west_handsworth_neighbourhood_forum,1,2670,2670,2670,2670
Wesleyan Comm Care (Project) Ltd,GB-COH-03799312 ,2,73472,36736,48279,25193
Werk Culture Ltd,GB-COH-07776947,1,7500,7500,7500,7500
Weoley Festival,360G-BirminghamCC-weoley_festival,2,1130,565,700,430
Weoley Castle Over 50'S Club,360G-BirminghamCC-weoley_castle_over_50s_club,1,250,250,250,250
Welcome Change Cic,GB-COH-07758208 ,1,20754,20754,20754,20754
Ward End Asian Elders Welfare Association,GB-COH-05697767 ,6,64936,10822,21645,5411
Walmley Church Centre Playgroup,360G-BirminghamCC-walmley_church_centre_playgroup,3,33666,11222,16832,8417
Vox Populi Community Singing Group,360G-BirminghamCC-vox_populi_community_singing_group,3,1318,439,500,318
Vivid Projects Ltd,GB-COH-08116990,1,3000,3000,3000,3000
Victoria'S School Of Dance,360G-BirminghamCC-victorias_school_of_dance,1,1230,1230,1230,1230
Vesey Neighbourhood Forum,360G-BirminghamCC-vesey_neighbourhood_forum,2,1200,600,600,600
V O W S Community Enterprise Cic,GB-COH-08878103,5,1700,340,500,300
Urc Sutton Coldfield Cafe Oasis,360G-BirminghamCC-urc_sutton_coldfield_cafe_oasis,6,7724,1287,2480,620
Urban Devotion Birmingham,GB-COH-05441379,6,24812,4135,7500,1760
Uprize CIC,GB-COH-09708586,1,7000,7000,7000,7000
Uk Asian Womens Centre,360G-BirminghamCC-uk_asian_womens_centre,2,37231,18615,24821,12410
Tyseley and District Community Association,GB-CHC-1078313,2,6000,3000,3000,3000
Turning Point Services Ltd,GB-COH-02166697,1,29198,29198,29198,29198
Trident Reach the People Charity,GB-COH-06761385,4,164262,41065,86026,2000
Trehurst Community Centre,GB-CHC-1027830,4,6050,1512,3000,300
Three Estates Disabled and Carers Support Group (T.E.D.S),GB-CHC-1108940,1,1333,1333,1333,1333
The Towers Neighbourhood Watch,360G-BirminghamCC-the_towers_neighbourhood_watch,1,250,250,250,250
The Royal National Institute of Blind People,GB-CHC-226227,6,63750,10625,21250,5312
The Pump (East Birmingham) Ltd,GB-COH-07077838,3,32548,10849,19960,3000
The Prince's Trust,GB-COH-RC000772,1,57552,57552,57552,57552
The Pioneer Housing & Community Group,GB-COH-IP28414R,1,18500,18500,18500,18500
The Parochial Church Council of the Ecclesiastical Parish of St James Hill Sutton Coldfield,GB-CHC-1134793,1,600,600,600,600
"The Parochial Church Council of the Ecclesiastical Parish of St Boniface, Quinton Road West",GB-CHC-1131914,1,500,500,500,500
"The Parochial Church Council of the Ecclesiastical Parish of Christ Church the Quinton, Birmingham.",GB-CHC-1131382,1,592,592,592,592
The Parochial Church Council of the Ecclesiastical Parish of Aston and Nechells,GB-CHC-1152917,1,5035,5035,5035,5035
The Parish Of St Paul And St Silas,360G-BirminghamCC-the_parish_of_st_paul_and_st_silas,1,1000,1000,1000,1000
The Open Theatre Company Ltd,GB-COH-01871300,1,3000,3000,3000,3000
The Muath Trust,GB-COH-04805117,10,113426,11342,31483,250
The International School,360G-BirminghamCC-the_international_school,1,22174,22174,22174,22174
The Haven Community Project,GB-COH-04764715,2,2000,1000,1000,1000
The Guide Assoc - Perry Barr Diviso,360G-BirminghamCC-the_guide_assoc_perry_barr_diviso,1,500,500,500,500
The Green Club,360G-BirminghamCC-the_green_club,8,2000,250,250,250
The Gap Art Project,360G-BirminghamCC-the_gap_art_project,2,22063,11031,13563,8500
The Future Melting Pot,GB-COH-07282511,1,48380,48380,48380,48380
The Friends of Perry Hall,GB-CHC-1052695,2,1500,750,1000,500
The Fields Millennium Green Trust,GB-CHC-1081599,1,850,850,850,850
The Extracare Charitable Trust,GB-COH-02205136,2,4500,2250,4000,500
The Edgbaston Arts Contact Group,360G-BirminghamCC-the_edgbaston_arts_contact_group,4,20460,5115,10000,1500
The Diocese of Birmingham Educational Trust,GB-CHC-1150469,6,307779,51296,145342,2250
The Digbeth Trust,GB-COH-07650505 ,3,418775,139591,263491,27539
The Dancexchange Ltd,GB-COH-02784677,6,548000,91333,310000,4000
The Cube In The Square,360G-BirminghamCC-the_cube_in_the_square,2,4550,2275,3550,1000
The Crick Project,360G-BirminghamCC-the_crick_project,1,500,500,500,500
The Court Flower Arrangers,360G-BirminghamCC-the_court_flower_arrangers,1,400,400,400,400
The Cotteridge Church,GB-CHC-1143091,3,126588,42196,55611,29269
The Centre Of Light,GB-COH-06460297,1,3000,3000,3000,3000
The Birmingham Civic Society,GB-COH-06426178,1,500,500,500,500
Swanswell Charitable Trust,GB-COH-03692925,1,32707,32707,32707,32707
Sutton Coldfield Young Mens Christian Association,GB-CHC-1008752,11,82375,7488,23000,636
Superact CIC,360G-BirminghamCC-superact_cic,1,7005,7005,7005,7005
Summerfield Residents Association,360G-BirminghamCC-summerfield_residents_association,1,2000,2000,2000,2000
Strawberry Afro CIC,GB-COH-10016627,1,3733,3733,3733,3733
Straight Path,360G-BirminghamCC-straight_path,2,900,450,500,400
Stonehouse Gang,GB-CHC-522888,1,1000,1000,1000,1000
Stockland Green Ward Advisory Board,360G-BirminghamCC-stockland_green_ward_advisory_board,1,500,500,500,500
Stirchley Neighbourhood Forum,360G-BirminghamCC-stirchley_neighbourhood_forum,3,1434,478,700,34
Stechford Village N/Hood Forum,360G-BirminghamCC-stechford_village_nhood_forum,4,1700,425,600,200
Stechford Baptist Church,360G-BirminghamCC-stechford_baptist_church,1,2000,2000,2000,2000
Starbank Primary School,360G-BirminghamCC-starbank_primary_school,1,1000,1000,1000,1000
Stans Cafe (Theatre),GB-COH-03095751,1,9650,9650,9650,9650
St Thomas Community Project,GB-CHC-1170109,8,113050,14131,100000,500
St Pauls Community Development Trust,GB-COH-01429707 ,4,3145,786,1575,218
St Michael'S Day Ctr & Meals/Wheels,360G-BirminghamCC-st_michaels_day_ctr_mealswheels,2,4800,2400,2400,2400
St Michael'S Day Centre,360G-BirminghamCC-st_michaels_day_centre,3,23400,7800,22500,450
St Marys Church Pype Hayes Pcc,360G-BirminghamCC-st_marys_church_pype_hayes_pcc,1,2000,2000,2000,2000
St John Wall School,360G-BirminghamCC-st_john_wall_school,1,900,900,900,900
Sport 4 Life UK,GB-COH-05664605,3,3010,1003,1390,540
Spokz People C.I.C,GB-COH-07854738,2,20386,10193,10750,9636
Sparkhill United,360G-BirminghamCC-sparkhill_united,2,1750,875,1000,750
Sparkhill Senior Citizen Forum,360G-BirminghamCC-sparkhill_senior_citizen_forum,2,730,365,500,230
Sparkhill Hub Mens Group,360G-BirminghamCC-sparkhill_hub_mens_group,2,500,250,250,250
Sparkhill Gurdwara Womens Group,360G-BirminghamCC-sparkhill_gurdwara_womens_group,2,500,250,250,250
Sparkhill Central Neigh Forum,360G-BirminghamCC-sparkhill_central_neigh_forum,2,1000,500,500,500
Sparkbrook Neighbourhood Forum,360G-BirminghamCC-sparkbrook_neighbourhood_forum,2,7000,3500,5020,1980
South Birmingham Young Homeless Project,GB-CHC-1015436,6,22200,3700,10000,200
South Aston Church Centre,360G-BirminghamCC-south_aston_church_centre,2,41506,20753,27193,14312
Soul City Arts,GB-COH-10016542,1,10000,10000,10000,10000
Sons Of Rest Brookvale Branch,360G-BirminghamCC-sons_of_rest_brookvale_branch,2,900,450,500,400
Sonia Sabri,GB-COH-04339970 ,1,10000,10000,10000,10000
Some Cities Cic,GB-COH-09100517,2,13000,6500,10000,3000
Smart Women CIC,GB-COH-08332277,3,4500,1500,1500,1500
Small Heath Community Forum Ltd,GB-COH-03169562,7,195972,27996,73989,1000
Sister Ruben And Friends,360G-BirminghamCC-sister_ruben_and_friends,2,800,400,500,300
Simmer Down CIC,GB-COH-08500808,4,22000,5500,12000,500
Silver Threads,360G-BirminghamCC-silver_threads,3,2250,750,800,700
Sifa Fireside,GB-COH-03094905,2,128494,64247,97494,31000
Shenley Fields Pre School,GB-COH-06127427,1,282,282,282,282
Shencare Community Transport,GB-COH-04256086,2,69009,34504,45213,23796
Sheldon Community Church,GB-CHC-1069691,1,3000,3000,3000,3000
Shard End Day Centre,360G-BirminghamCC-shard_end_day_centre,1,1200,1200,1200,1200
Shard End & Tile Cross Communities,360G-BirminghamCC-shard_end_tile_cross_communities,4,6426,1606,3500,250
Shanti Womens Group,360G-BirminghamCC-shanti_womens_group,2,500,250,250,250
Shaheed Udham Singh Welfare Trust (Birmingham),GB-CHC-507576,2,9000,4500,8500,500
Selly Park South N'Hood Forum,360G-BirminghamCC-selly_park_south_nhood_forum,2,1000,500,500,500
Secret City Arts,360G-BirminghamCC-secret_city_arts,3,20539,6846,8307,4257
Saving Sparkhill Swimming Baths,360G-BirminghamCC-saving_sparkhill_swimming_baths,1,500,500,500,500
Sampson Road Resident Association,360G-BirminghamCC-sampson_road_residentassociation,2,10000,5000,5000,5000
Sampad South Asian Arts,GB-COH-04146042,5,121000,24200,80000,3000
Saltley Business Association,GB-COH-05332332,1,2500,2500,2500,2500
Saint Nicolas Place CIC,360G-BirminghamCC-saint_nicolas_place_cic,4,1000,250,250,250
Saint Mark's Community Developments,GB-COH-06208796,1,1000,1000,1000,1000
Royal Artillery Association,360G-BirminghamCC-royal_artillery_association,2,4000,2000,2000,2000
Rosemount Residents Association,360G-BirminghamCC-rosemount_residents_association,2,1000,500,500,500
Rosemarie Centre Limited,GB-COH-05539913,3,52587,17529,25619,13484
Rogueplay Theatre Ltd,GB-COH-06928349,2,8092,4046,5092,3000
Rise And Shine 4U,360G-BirminghamCC-rise_and_shine_4u,1,2000,2000,2000,2000
Reverend C O Nyanni,360G-BirminghamCC-reverend_c_o_nyanni,3,7500,2500,2500,2500
Rethink,GB-COH-04396376,3,313215,104405,149230,74615
Reel Access (co-ordinators of Hodge Hill Arts Forum),GB-COH-05935237,2,14530,7265,9530,5000
Reaside Community Centre,360G-BirminghamCC-reaside_community_centre,1,3670,3670,3670,3670
Re Future,GB-COH-10023927 ,1,2965,2965,2965,2965
Rainbow Care & Support,360G-BirminghamCC-rainbow_care_support,2,26365,13182,22776,3588
Quinton Local History Society,360G-BirminghamCC-quinton_local_history_society,1,1912,1912,1912,1912
Quinton Bright Futures,360G-BirminghamCC-quinton_bright_futures,3,4065,1355,1900,265
Quinborne Community Association,GB-COH-07372879,8,7500,937,1500,250
Purbanat Community Interest Co Ltd,360G-BirminghamCC-purbanat_community_interest_co_ltd,1,10000,10000,10000,10000
Punch Records Dj Workshops Ltd,GB-COH-04358686,4,75000,18750,40000,9000
Professional Incredibles,360G-BirminghamCC-professional_incredibles,4,23000,5750,12000,3000
Primrose Hill Community Project Ltd,GB-COH-03948532,1,1700,1700,1700,1700
Pohwer,GB-COH-03323040,2,27692,13846,27539,153
Podnosh Ltd,GB-COH-07029099,2,6744,3372,6120,624
Philip Potter,360G-BirminghamCC-philip_potter,2,3400,1700,1700,1700
Perry Beeches The Academy,GB-COH-07749786,2,500,250,250,250
Perry Beeches Art Group,360G-BirminghamCC-perry_beeches_art_group,2,1000,500,500,500
Perry Aston Residents Association,360G-BirminghamCC-perry_aston_residents_association,2,1000,500,500,500
Performances Birmingham Ltd,GB-COH-03169600,6,5679400,946566,3970000,400
People in Partnership,GB-CHC-1002294,2,59799,29899,39178,20620
Parks For Play,GB-COH-06950288,2,25000,12500,20000,5000
Parent Support Network,360G-BirminghamCC-parent_support_network,2,800,400,500,300
PEA,GB-COH-08043154,3,10500,3500,5000,2500
Over 50'S Community Group,360G-BirminghamCC-over_50s_community_group,1,600,600,600,600
Out & About Group,360G-BirminghamCC-out_about_group,1,250,250,250,250
Our Place Kings Norton,GB-COH-06965421,2,3174,1587,2599,575
Our Little Angelz Ltd,GB-COH-08447790,1,2500,2500,2500,2500
Our Lady Of Fatima Over 60'S Club,360G-BirminghamCC-our_lady_of_fatima_over_60s_club,1,500,500,500,500
Our Community CIC,GB-COH-06599550,2,7000,3500,5000,2000
Oscott Residents Group Association,360G-BirminghamCC-oscott_residents_group_association,5,668,133,300,46
Oscott Elderley Residents Group,360G-BirminghamCC-oscott_elderley_residents_group,2,700,350,500,200
Oscar (Birmingham) Ltd,GB-COH-05311442,6,12823,2137,4663,1165
