Identifier,Title,Description,Currency,Amount Applied For,Amount Awarded,Amount Disbursed,Award Date,URL,Planned Dates:Start Date,Planned Dates:End Date,Planned Dates:Duration (months),Actual Dates:Start Date,Actual Dates:End Date,Actual Dates:Duration (months),Recipient Org:Identifier,Recipient Org:Name,Recipient Org:Charity Number,Recipient Org:Company Number,Recipient Org:Postal Code,Recipient Org:Location:0:Geographic Code Type,Recipient Org:Location:0:Geographic Code,Recipient Org:Location:0:Name,Recipient Org:Location:1:Geographic Code Type,Recipient Org:Location:1:Geographic Code,Recipient Org:Location:1:Name,Recipient Org:Location:2:Geographic Code Type,Recipient Org:Location:2:Geographic Code,Recipient Org:Location:2:Name,Funding Org:Identifier,Funding Org:Name,Funding Org:Postal Code,Grant Programme:Code,Grant Programme:Title,Grant Programme:URL,Beneficiary Location:0:Name,Beneficiary Location:0:Country Code,Beneficiary Location:0:Geographic Code,Beneficiary Location:0:Geographic Code Type,Beneficiary Location:1:Name,Beneficiary Location:1:Country Code,Beneficiary Location:1:Geographic Code,Beneficiary Location:1:Geographic Code Type,Beneficiary Location:2:Name,Beneficiary Location:2:Country Code,Beneficiary Location:2:Geographic Code,Beneficiary Location:2:Geographic Code Type,Beneficiary Location:3:Name,Beneficiary Location:3:Country Code,Beneficiary Location:3:Geographic Code,Beneficiary Location:3:Geographic Code Type,Beneficiary Location:4:Name,Beneficiary Location:4:Country Code,Beneficiary Location:4:Geographic Code,Beneficiary Location:4:Geographic Code Type,Beneficiary Location:5:Name,Beneficiary Location:5:Country Code,Beneficiary Location:5:Geographic Code,Beneficiary Location:5:Geographic Code Type,Beneficiary Location:6:Name,Beneficiary Location:6:Country Code,Beneficiary Location:6:Geographic Code,Beneficiary Location:6:Geographic Code Type,Beneficiary Location:7:Name,Beneficiary Location:7:Country Code,Beneficiary Location:7:Geographic Code,Beneficiary Location:7:Geographic Code Type,From An Open Call?,The following fields are not in the 360 Giving Standard and are added by GrantNav.,Data Source,Publisher:Name,Recipient Region,Recipient District,Recipient District Geographic Code,Recipient Ward,Recipient Ward Geographic Code,Retrieved for use in GrantNav,License (see note),"Note, this file also contains OS data © Crown copyright and database right 2016, Royal Mail data © Royal Mail copyright and Database right 2016, National Statistics data © Crown copyright and database right 2015 & 2016, see http://grantnav.threesixtygiving.org/datasets/ for more information."
360G-EFF-19-0591,Grant to Impact Hub Birmingham,"Towards unrestricted core costs to support the development of ambitious plans for Civic Square, a multi purpose community hub in Birmingham",GBP,,50000,,2019-06-06T00:00:00.000Z,https://birmingham.impacthub.net/,,,12,,,,360G-EFF-001b000003VM0pl,Impact Hub Birmingham,,,B5 5NR,,,,,,,,,,GB-CHC-200051,Esmée Fairbairn Foundation,,,Main Grant,,England/West Midlands/Birmingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://esmeefairbairn.org.uk/userfiles/Documents/Grants%20list/Esmee_Grants_Since_2008.json,Esmée Fairbairn Foundation,West Midlands,Birmingham District,E08000025,Nechells Ward,E05001197,2019-07-03T10:13:11+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-EFF-18-1321,Grant to African Cultural Exchange Ltd (ACE dance and music),"Towards a programme of dance outreach to give young people from disadvantaged areas positive experiences from participating in arts, nurture their progress, and work with the wider community to raise aspirations.",GBP,,120000,,2019-05-22T00:00:00.000Z,http://www.acedanceandmusic.com,,,36,,,,360G-EFF-0010X00004GahbX,African Cultural Exchange Ltd (ACE dance and music),3471844,,B5 5SL,,,,,,,,,,GB-CHC-200051,Esmée Fairbairn Foundation,,,Main Grant,,England/West Midlands/Birmingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://esmeefairbairn.org.uk/userfiles/Documents/Grants%20list/Esmee_Grants_Since_2008.json,Esmée Fairbairn Foundation,West Midlands,Birmingham District,E08000025,Nechells Ward,E05001197,2019-07-03T10:13:11+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-TrussellTrust-L2Spar,Grant to Sparkhill Foodbank,Staffing for new community café project (2 posts),GBP,90000,51520,,2019-04-19T00:00:00+00:00,https://sparkhill.foodbank.org.uk,2019-04-01T00:00:00+00:00,2022-04-01T00:00:00+00:00,36,,,,GB-CHC-1100358,Narthex Sparkhill,1100358,,B11 2AQ,,,,,,,,,,GB-CHC-1110522,the Trussell Trust,,Asda FHCC,"Fight Hunger, Create Change",https://grants.foodbank.org.uk/,Sparkhill,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,https://grants.foodbank.org.uk/wp-content/uploads/2019/06/360-giving-FHCC-grants-310519.xlsx,the Trussell Trust,West Midlands,Birmingham District,E08000025,South Yardley Ward,E05001206,2019-07-03T12:31:10+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-TrussellTrust-L2As&N,Grant to Aston & Nechells Foodbank,Set-up costs and rent for new food bank warehouse,GBP,59826,40824.54,,2019-03-26T00:00:00+00:00,https://astonnechells.foodbank.org.uk/,2019-04-01T00:00:00+00:00,2022-04-01T00:00:00+00:00,36,,,,GB-CHC-1141676,CAN DO 4:13,1141676,7508388,B7 4JH,,,,,,,,,,GB-CHC-1110522,the Trussell Trust,,Asda FHCC,"Fight Hunger, Create Change",https://grants.foodbank.org.uk/,Aston & Nechells,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,https://grants.foodbank.org.uk/wp-content/uploads/2019/06/360-giving-FHCC-grants-310519.xlsx,the Trussell Trust,West Midlands,Birmingham District,E08000025,Nechells Ward,E05001197,2019-07-03T12:31:10+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-EFF-18-0948,Grant to BOM (Birmingham Open Media) CIC,"towards a programme of artistic development for autistic people aged 25 years plus, enabling people to develop work to a professional standard and pursue careers in the arts.",GBP,,179088,,2019-03-06T00:00:00.000Z,http://www.bom.org.uk,,,36,,,,360G-EFF-0010X00004DbFqX,BOM (Birmingham Open Media) CIC,,,B5 4EG,,,,,,,,,,GB-CHC-200051,Esmée Fairbairn Foundation,,,Main Grant,,England/West Midlands/Birmingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://esmeefairbairn.org.uk/userfiles/Documents/Grants%20list/Esmee_Grants_Since_2008.json,Esmée Fairbairn Foundation,West Midlands,Birmingham District,E08000025,Ladywood Ward,E05001193,2019-07-03T10:13:11+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-EFF-18-1284,Grant to Birmingham Open Spaces Forum,towards the short-term cost of operations (over four months or so) and to enable BOSF to undertake a strategic review and explore alternative theories of change.,GBP,,18233,,2019-02-06T00:00:00.000Z,http://www.bosf.org.uk,,,4,,,,GB-CHC-1170171,Birmingham Open Spaces Forum,1170171,,B14 7TQ,,,,,,,,,,GB-CHC-200051,Esmée Fairbairn Foundation,,,Main Grant,,England/West Midlands/Birmingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://esmeefairbairn.org.uk/userfiles/Documents/Grants%20list/Esmee_Grants_Since_2008.json,Esmée Fairbairn Foundation,West Midlands,Birmingham District,E08000025,Moseley and Kings Heath Ward,E05001196,2019-07-03T10:13:11+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-EFF-18-1173,Grant to Birmingham Settlement,Towards the generation of an integrated development plan that analyses and prioritises the opportunities before the Settlement to the maximum benefit of the local community.,GBP,,20000,,2019-01-28T00:00:00.000Z,http://www.birminghamsettlement.org.uk,,,3,,,,360G-EFF-001b000003VLopB,Birmingham Settlement,517303,,B6 6NS,,,,,,,,,,GB-CHC-200051,Esmée Fairbairn Foundation,,,Main Grant,,England/West Midlands/Birmingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://esmeefairbairn.org.uk/userfiles/Documents/Grants%20list/Esmee_Grants_Since_2008.json,Esmée Fairbairn Foundation,West Midlands,Birmingham District,E08000025,Aston Ward,E05001179,2019-07-03T10:13:11+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-TrussellTrust-L1Erdi,Grant to Erdington Foodbank,New food bank warehouse premises and equipment,GBP,34500,21184.36,,2018-12-28T00:00:00+00:00,https://erdington.foodbank.org.uk,2019-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,36,,,,GB-CHC-1161641,Erdington Foodbank,1161641,,B24 8AD,,,,,,,,,,GB-CHC-1110522,the Trussell Trust,,Asda FHCC,"Fight Hunger, Create Change",https://grants.foodbank.org.uk/,Erdington,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,https://grants.foodbank.org.uk/wp-content/uploads/2019/06/360-giving-FHCC-grants-310519.xlsx,the Trussell Trust,West Midlands,Birmingham District,E08000025,Erdington Ward,E05001186,2019-07-03T12:31:10+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-TrussellTrust-L1B30.,Grant to B30 Foodbank,Specialist advisor to support food bank clients,GBP,34500,35202.6,,2018-12-14T00:00:00+00:00,https://b30.foodbank.org.uk,2019-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,36,,,,GB-CHC-1143091,The Cotteridge Church,1143091,,B30 3EJ,,,,,,,,,,GB-CHC-1110522,the Trussell Trust,,Asda FHCC,"Fight Hunger, Create Change",https://grants.foodbank.org.uk/,Cotteridge,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,https://grants.foodbank.org.uk/wp-content/uploads/2019/06/360-giving-FHCC-grants-310519.xlsx,the Trussell Trust,West Midlands,Birmingham District,E08000025,Bournville Ward,E05001183,2019-07-03T12:31:10+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-HenrySmithCharity-20181180,Grant to Haven Community Project,"towards three years' salary of a full time Youth and Community Worker at a project providing an advice service, youth sessions and a community cafe in a deprived area of Birmingham",GBP,94436,94400,,2018-12-12T00:00:00+00:00,,,,36,,,,GB-CHC-1138686,Haven Community Project,1138686,,B32 2NR,,,,,,,,,,GB-CHC-230102,The Henry Smith Charity ,,,Strengthening Communities,,West Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.henrysmithcharity.org.uk/wp-content/uploads/2019/03/360-Giving-Format-Grants-data-Jan-2012-Dec-2018-.xlsx,The Henry Smith Charity,West Midlands,Birmingham District,E08000025,Quinton Ward,E05001201,2019-07-03T10:18:29+00:00,https://creativecommons.org/licenses/by/4.0/,
