Identifier,Title,Description,Currency,Amount Applied For,Amount Awarded,Amount Disbursed,Award Date,URL,Planned Dates:Start Date,Planned Dates:End Date,Planned Dates:Duration (months),Actual Dates:Start Date,Actual Dates:End Date,Actual Dates:Duration (months),Recipient Org:Identifier,Recipient Org:Name,Recipient Org:Charity Number,Recipient Org:Company Number,Recipient Org:Postal Code,Recipient Org:Location:0:Geographic Code Type,Recipient Org:Location:0:Geographic Code,Recipient Org:Location:0:Name,Recipient Org:Location:1:Geographic Code Type,Recipient Org:Location:1:Geographic Code,Recipient Org:Location:1:Name,Recipient Org:Location:2:Geographic Code Type,Recipient Org:Location:2:Geographic Code,Recipient Org:Location:2:Name,Funding Org:Identifier,Funding Org:Name,Funding Org:Postal Code,Grant Programme:Code,Grant Programme:Title,Grant Programme:URL,Beneficiary Location:0:Name,Beneficiary Location:0:Country Code,Beneficiary Location:0:Geographic Code,Beneficiary Location:0:Geographic Code Type,Beneficiary Location:1:Name,Beneficiary Location:1:Country Code,Beneficiary Location:1:Geographic Code,Beneficiary Location:1:Geographic Code Type,Beneficiary Location:2:Name,Beneficiary Location:2:Country Code,Beneficiary Location:2:Geographic Code,Beneficiary Location:2:Geographic Code Type,Beneficiary Location:3:Name,Beneficiary Location:3:Country Code,Beneficiary Location:3:Geographic Code,Beneficiary Location:3:Geographic Code Type,Beneficiary Location:4:Name,Beneficiary Location:4:Country Code,Beneficiary Location:4:Geographic Code,Beneficiary Location:4:Geographic Code Type,Beneficiary Location:5:Name,Beneficiary Location:5:Country Code,Beneficiary Location:5:Geographic Code,Beneficiary Location:5:Geographic Code Type,Beneficiary Location:6:Name,Beneficiary Location:6:Country Code,Beneficiary Location:6:Geographic Code,Beneficiary Location:6:Geographic Code Type,Beneficiary Location:7:Name,Beneficiary Location:7:Country Code,Beneficiary Location:7:Geographic Code,Beneficiary Location:7:Geographic Code Type,From An Open Call?,The following fields are not in the 360 Giving Standard and are added by GrantNav.,Data Source,Publisher:Name,Recipient Region,Recipient District,Recipient District Geographic Code,Recipient Ward,Recipient Ward Geographic Code,Retrieved for use in GrantNav,License (see note),"Note, this file also contains OS data © Crown copyright and database right 2016, Royal Mail data © Royal Mail copyright and Database right 2016, National Statistics data © Crown copyright and database right 2015 & 2016, see http://grantnav.threesixtygiving.org/datasets/ for more information."
360G-TrussellTrust-L1Smet,Grant to Smethwick Foodbank,New Foodbank Manager post,GBP,21461,23846.4,,2019-01-22T00:00:00+00:00,https://smethwick.foodbank.org.uk,2019-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,36,,,,GB-CHC-1157993,Smethwick Foodbank,1157993,,B67 6AD,,,,,,,,,,GB-CHC-1110522,the Trussell Trust,,Asda FHCC,"Fight Hunger, Create Change",https://grants.foodbank.org.uk/,Smethwick,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,https://grants.foodbank.org.uk/wp-content/uploads/2019/06/360-giving-FHCC-grants-310519.xlsx,the Trussell Trust,West Midlands,Sandwell District,E08000028,Soho and Victoria Ward,E05001278,2019-07-03T12:31:10+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-ClothworkersFdn-201700935,Grant to breakthru,purchase of office furniture and equipment for a charity which works with disadvantaged minority communities in the West Midlands,GBP,,5000,,2018-12-07T00:00:00+00:00,,,,,,,,GB-COH-10536772,breakthru,10536772,,DY4 0HU,,,,,,,,,,GB-CHC-274100,The Clothworkers Foundation,,,Small Grants Programme,,West Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,https://www.clothworkersfoundation.org.uk/media/1161/2018-clothworkers-360giving-data-v2.xlsx,The Clothworkers Foundation,West Midlands,Sandwell District,E08000028,Wednesbury South Ward,E05001282,2019-07-03T10:18:16+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-ClothworkersFdn-201700830,Grant to Better Understanding of Dementia for Sandwell,purchase of a minibus for a charity which works with older people in the West Midlands,GBP,,15000,,2018-10-16T00:00:00+00:00,,,,,,,,GB-CHC-1133484,Better Understanding of Dementia for Sandwell,1133484,,B68 9LN,,,,,,,,,,GB-CHC-274100,The Clothworkers Foundation,,,Main Grants Programme,,West Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,https://www.clothworkersfoundation.org.uk/media/1161/2018-clothworkers-360giving-data-v2.xlsx,The Clothworkers Foundation,West Midlands,Sandwell District,E08000028,Bristnall Ward,E05001262,2019-07-03T10:18:16+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-blf-0031062912,Lean On Me,This funding will be used to provide mentoring for young people who are in need of additional support due to issues such as mental ill health and family issues. The aim of the project is to enable them to improve their future career opportunities and chances in life.  ,GBP,,9900,,2018-07-25T00:00:00+00:00,,2018-08-09T00:00:00+00:00,2019-08-09T00:00:00+00:00,12,,,,GB-COH-6702808,Generation England CIC,,6702808,,,E05001276,St. Pauls,,E08000028,Sandwell,,,,360G-blf,The Big Lottery Fund,,AFEX1,National Lottery Awards for All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tnlcommunityfund.org.uk/media/open-data/TNLCF_Grant_Data_2018-2019.xlsx,The National Lottery Community Fund,West Midlands,Sandwell District,E08000028,St. Pauls Ward,E05001276,2019-07-03T12:21:26+00:00,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
360G-blf-0031062433,SCDF Setup,Activities and workshops will be funded for the local community who are at risk of being isolated. This will improve levels of wellbeing within the community and create a local area to socialise.  ,GBP,,9650,,2018-07-12T00:00:00+00:00,,2018-07-18T00:00:00+00:00,2019-07-18T00:00:00+00:00,12,,,,360G-blf-org-The Sandwell Communities Development Foundation-Other : Non charitable unincorporated organisation-01122017-E08000028,The Sandwell Communities Development Foundation,,,,,E05001273,Oldbury,,E08000028,Sandwell,,,,360G-blf,The Big Lottery Fund,,AFEX1,National Lottery Awards for All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tnlcommunityfund.org.uk/media/open-data/TNLCF_Grant_Data_2018-2019.xlsx,The National Lottery Community Fund,West Midlands,Sandwell District,E08000028,Oldbury Ward,E05001273,2019-07-03T12:21:26+00:00,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
360G-blf-0031062521,Leading Lights,"This funding will be used to deliver a programme of workshops to Bangladeshi women. The project aims to provide a range of skills that will improve confidence and wellbeing, leading to greater social interaction and future employability.",GBP,,10000,,2018-07-12T00:00:00+00:00,,2018-07-27T00:00:00+00:00,2019-07-27T00:00:00+00:00,12,,,,GB-CHC-1151816,Bangladeshi Women's Association,1151816,8085962,,,E05001279,Tipton Green,,E08000028,Sandwell,,,,360G-blf,The Big Lottery Fund,,AFEX1,National Lottery Awards for All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tnlcommunityfund.org.uk/media/open-data/TNLCF_Grant_Data_2018-2019.xlsx,The National Lottery Community Fund,West Midlands,Sandwell District,E08000028,Tipton Green Ward,E05001279,2019-07-03T12:21:26+00:00,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
360G-blf-0031062460,MUGA,This funding will be used to install a multi-use games area for use by local schools and community groups. The project aims to improve an outdoor facility that will enhance the health and wellbeing of the local community.,GBP,,10000,,2018-07-12T00:00:00+00:00,,2018-07-20T00:00:00+00:00,2019-07-20T00:00:00+00:00,12,,,,360G-blf-org-Burnt Tree Primary School-School : State School-01011999-E08000028,Burnt Tree Primary School,,,,,E05001273,Oldbury,,E08000028,Sandwell,,,,360G-blf,The Big Lottery Fund,,AFEX1,National Lottery Awards for All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tnlcommunityfund.org.uk/media/open-data/TNLCF_Grant_Data_2018-2019.xlsx,The National Lottery Community Fund,West Midlands,Sandwell District,E08000028,Oldbury Ward,E05001273,2019-07-03T12:21:26+00:00,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
360G-blf-0031062064,Building Futures,"This funding will be used to support people from the black, Asian or ethnic minority community who are experiencing mental health problems. The project will deliver a holistic, mental wellbeing programme which provides psychological, physical, cultural, practical, social and vocational training for ex-offenders and their families. This will equip people who have left prison with essential life skills to rebuild their lives and manage the distress of their mental health condition.",GBP,,153808,,2018-07-03T00:00:00+00:00,,2018-10-15T00:00:00+00:00,2021-10-15T00:00:00+00:00,36,,,,GB-CHC-1082017,Sandwell African Caribbean Mental Health Foundation,1082017,4004120,,,E05001283,West Bromwich Central,,E08000028,Sandwell,,,,360G-blf,The Big Lottery Fund,,RC6,Reaching Communities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tnlcommunityfund.org.uk/media/open-data/TNLCF_Grant_Data_2018-2019.xlsx,The National Lottery Community Fund,West Midlands,Sandwell District,E08000028,West Bromwich Central Ward,E05001283,2019-07-03T12:21:26+00:00,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
360G-blf-0031061700,The Aman Group,"This funding will be used to run social sessions for women who have limited contact with the wider community. The aim is to enable them to integrate with their peers, develop positive relationships and encourage them to live more active lives.",GBP,,10000,,2018-06-21T00:00:00+00:00,,2018-07-13T00:00:00+00:00,2019-07-13T00:00:00+00:00,12,,,,GB-COH-10536772,Breakthru CIC,,10536772,,,E05001282,Wednesbury South,,E08000028,Sandwell,,,,360G-blf,The Big Lottery Fund,,AFEX1,National Lottery Awards for All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tnlcommunityfund.org.uk/media/open-data/TNLCF_Grant_Data_2018-2019.xlsx,The National Lottery Community Fund,West Midlands,Sandwell District,E08000028,Wednesbury South Ward,E05001282,2019-07-03T12:21:26+00:00,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
360G-blf-0031061763,SinglePoint (Plus),"This group will use the funding to support families who are facing challenges in their lives. This will be achieved through a wide range of activities including counselling, volunteering opportunities, addiction support and partnering parents to befriend each other. Family-focussed events will bring people together, encouraging them to build strong relationships in and across communities. The group’s leadership team will also be upskilled using this funding.",GBP,,271719,,2018-06-21T00:00:00+00:00,,2019-01-01T00:00:00+00:00,2020-01-01T00:00:00+00:00,12,,,,360G-blf-org-Christ Church C of E Primary School-School : Voluntary Aided School-01011999-E08000028,Christ Church C of E Primary School,,,,,E05001273,Oldbury,,E08000028,Sandwell,,,,360G-blf,The Big Lottery Fund,,RCBR1,Reaching Communities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tnlcommunityfund.org.uk/media/open-data/TNLCF_Grant_Data_2018-2019.xlsx,The National Lottery Community Fund,West Midlands,Sandwell District,E08000028,Oldbury Ward,E05001273,2019-07-03T12:21:26+00:00,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
